male,age,edu,inc,union,lrscale
0,66,6,4,0,4
1,57,5,9,1,7
0,56,6,6,1,5
0,74,3,2,0,5
0,49,4,9,1,8
1,58,3,3,1,5
0,21,2,2,0,10
1,65,3,6,1,8
1,37,7,7,1,6
1,27,6,9,1,7
1,65,3,3,1,5
1,27,7,7,1,7
1,17,2,8,0,8
1,74,3,5,0,2
1,69,3,9,1,9
1,66,3,6,0,7
1,29,7,9,1,7
1,37,7,10,0,8
1,61,3,6,1,8
1,21,5,5,0,2
1,25,6,1,0,7
1,39,6,9,0,3
0,34,4,5,0,2
0,49,6,5,1,3
1,46,5,3,1,8
1,27,3,2,1,3
0,32,6,9,1,3
0,15,2,8,0,5
1,60,2,6,1,4
0,36,5,6,1,3
0,83,2,1,0,10
0,36,6,10,1,5
0,73,1,4,0,5
1,18,2,10,0,3
0,27,6,1,0,6
1,73,7,5,0,0
1,68,1,1,1,5
1,54,6,2,1,6
1,42,6,8,0,7
0,45,5,10,0,7
1,20,2,4,0,7
0,31,3,5,1,4
0,51,5,10,1,5
0,48,6,4,1,3
1,47,4,8,1,3
1,45,1,2,1,6
1,20,4,3,0,1
1,38,6,6,0,7
0,79,2,10,0,7
1,50,6,10,0,8
0,50,2,9,1,7
1,85,1,1,0,2
0,41,3,10,1,4
0,26,4,5,1,4
1,67,6,4,0,8
1,65,3,5,1,1
0,70,3,4,0,7
1,39,6,10,1,4
1,73,3,3,0,8
0,43,6,10,1,8
1,62,3,10,1,8
1,67,3,7,0,3
0,46,5,7,1,5
1,72,2,2,1,6
0,74,7,3,1,2
1,45,3,8,1,8
1,55,3,6,1,8
0,52,2,8,1,3
0,38,6,8,1,7
0,23,4,1,0,8
0,46,6,6,1,2
0,78,1,3,0,5
0,44,3,6,1,6
1,61,7,9,1,4
1,50,3,6,1,2
0,34,7,7,1,3
1,71,1,4,0,2
0,46,6,10,1,7
1,32,3,9,1,9
1,61,7,10,1,7
0,60,3,5,1,4
0,68,6,6,0,1
1,29,6,5,1,3
0,21,2,4,0,1
0,67,6,6,0,4
1,49,3,8,1,5
1,46,5,8,1,8
1,47,2,6,1,6
0,24,3,2,1,5
1,65,5,4,0,6
0,24,4,6,1,7
1,28,3,5,1,10
0,21,4,1,0,8
0,82,1,2,0,9
0,50,6,6,0,7
1,28,3,2,1,7
0,49,3,6,1,3
1,23,4,1,0,8
1,16,1,5,0,7
1,37,3,6,0,7
1,47,7,10,1,4
0,83,3,3,0,0
1,74,3,3,0,9
0,28,4,7,1,3
0,68,1,2,0,10
1,27,3,9,0,3
0,56,6,5,0,1
0,44,4,7,1,8
0,68,2,8,1,4
1,43,1,4,0,4
0,48,7,7,1,7
0,61,6,5,1,5
0,56,7,10,1,2
1,71,6,5,1,0
1,22,4,2,0,4
1,31,2,7,1,7
0,45,5,6,1,3
